Row.names	Apap_The_002_1	Apap_The_002_2	Apap_The_002_3	Apap_The_024_1	Apap_The_024_2	Apap_The_024_3	Apap_Tox_002_2	Apap_Tox_002_3	Apap_Tox_024_1	Apap_Tox_024_2	Con_DMSO_002_1	Con_DMSO_002_2	Con_DMSO_002_3	Con_DMSO_024_1	Con_DMSO_024_2	Con_DMSO_024_3
ENSG00000146013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146021	57	18	5	21	52	81	53	0	163	78	28	604	0	0	31	1
ENSG00000146038	0	1	0	21	25	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146039	212	949	282	351	324	266	640	522	263	433	511	506	590	1442	1121	965
ENSG00000146047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146054	0	0	15	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146063	118	48	149	153	202	58	247	51.62	0	61	39	892	0	0	3	255
ENSG00000146066	3023.91	6257.21	4094.73	4867.39	4807	3519.1	3703.88	2545	1882	2487	2380.98	2690.9	1085	1847	2190	2104.95
ENSG00000146067	65	421	0	335	555	67	195	151	113	178	2	1	0	1	55	0
ENSG00000146070	181	113	134	164	134	238	1	0	0	152.01	0	81	0	46	0	0
ENSG00000146072	1516	2193	1052	2538	2772	1678	2803	2205	1338	1760	3255	2239	3384	2159	1796	3318
ENSG00000146083	106	315	108	310	459	227	125	225	155	121	79	1	0	0	1	443
ENSG00000146085	427	738	276	569	798	322	1021	496	486	429	378	375	613	682	1300	1296
ENSG00000146090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146094	0	49	0	43	204	41	54	0	0	0	0	0	0	0	0	0
ENSG00000146109	150	429	140	296	577	358	278	164	98	143	55	141	325	560	452	178
ENSG00000146112	320	887	788	1589	1662	595	398	293	839	532	1265	808	1535	6	398	30
ENSG00000146122	0	0	0	1.02	11	12	3	0	51	3.03	0	1	1	52	0	276
ENSG00000146143	190	95	0	37	5	22	125	216	17	96	98	77	0	239	0	263
ENSG00000146147	493	894	906	1044	454	424	627	584	150	899	254	154	836	536	1143	1164
ENSG00000146151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
ENSG00000146192	0	22	0	72	174	141	0	0	0	0	0	0	0	0	0	0
ENSG00000146197	27	0	0	1	48	1	35	0	65	1	50	332	0	1	0	0
ENSG00000146205	0	0	0	104	7	26	1	0	0	77	0	0	0	0	0	0
ENSG00000146215	195	572	293	376	251	126	475	388	27	76	32	5	0	322	335	438
ENSG00000146216	23	131	41	50	91	69	74	0	0	4	0	23	1	0	0	0
ENSG00000146221	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000146223	941.77	1945.71	813.02	1503.65	1509.98	962.84	2106.34	1693	996	1724.06	1903.44	1152.75	357	812.01	2707.83	2132
ENSG00000146232	1287	2208	1140	2927	1878	1014	1716	1071	478	1370	1084	1807	449	575	1068	1064
ENSG00000146233	205	196	51	270	433	136	161	137	266	449	250	114	5	190	787	76
ENSG00000146242	0	9	1	41	48	48	100	0	221	78	1	0	0	0	0	0
